epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,144.767,0.92326,0.95703,0.99913,0.1526,0.000237793,0.000237793,0.000237793
2,287.279,0.22516,0.97186,0.99978,0.08826,0.000452241,0.000452241,0.000452241
3,425.268,0.17999,0.9627,1,0.11316,0.000643127,0.000643127,0.000643127
4,566.897,0.14998,0.98386,0.99956,0.04987,0.000607971,0.000607971,0.000607971
5,706.261,0.09935,0.99128,1,0.03314,0.000572628,0.000572628,0.000572628
6,845.102,0.08174,0.9904,1,0.02863,0.000537285,0.000537285,0.000537285
7,982.499,0.07451,0.98561,1,0.04068,0.000501942,0.000501942,0.000501942
8,1122.29,0.0717,0.9928,1,0.02148,0.000466599,0.000466599,0.000466599
9,1262.7,0.05686,0.99128,1,0.02509,0.000431256,0.000431256,0.000431256
10,1401.87,0.04638,0.9928,1,0.02062,0.000395913,0.000395913,0.000395913
11,1541.91,0.04497,0.9928,1,0.02203,0.00036057,0.00036057,0.00036057
12,1681.26,0.04175,0.99498,1,0.01517,0.000325227,0.000325227,0.000325227
13,1818.54,0.03518,0.9928,1,0.02019,0.000289884,0.000289884,0.000289884
14,1956.35,0.03021,0.99673,1,0.01126,0.000254541,0.000254541,0.000254541
15,2093.23,0.02802,0.99673,1,0.01312,0.000219198,0.000219198,0.000219198
16,2230.75,0.02438,0.99651,1,0.0096,0.000183855,0.000183855,0.000183855
17,2370.71,0.02057,0.99847,1,0.00822,0.000148512,0.000148512,0.000148512
18,2509.35,0.01889,0.99804,1,0.00903,0.000113169,0.000113169,0.000113169
19,2647.81,0.01588,0.99716,1,0.00965,7.7826e-05,7.7826e-05,7.7826e-05
20,2785.43,0.01282,0.9976,1,0.00874,4.2483e-05,4.2483e-05,4.2483e-05
