iter	RMSE
0	0.9280878578
1	0.9173597129
2	0.9067122168
3	0.8970127145
4	0.8875456875
5	0.8782309022
6	0.8694308259
7	0.8608475462
8	0.8525903749
9	0.8447058801
10	0.8373160003
11	0.8298325767
12	0.8229098194
13	0.8164178433
14	0.81034964
15	0.8045732738
16	0.7988051076
17	0.7934694411
18	0.7884592415
19	0.783484888
20	0.7783072385
21	0.7737519982
22	0.7692128614
23	0.7650970495
24	0.7612034076
25	0.7574534888
26	0.7539995605
27	0.750664716
28	0.7471631574
29	0.7437394479
30	0.7405189687
31	0.7374223764
32	0.7343931302
33	0.731711569
34	0.7292609036
35	0.7265979147
36	0.7241911868
37	0.7217332129
38	0.7195711994
39	0.7173540743
40	0.715375809
41	0.7133287796
42	0.7113028512
43	0.7096437347
44	0.7077392989
45	0.706212251
46	0.7044948028
47	0.702911008
48	0.7014605965
49	0.700059643
50	0.6984263825
51	0.6969105208
52	0.6957383527
53	0.6946590305
54	0.6936094817
55	0.6926156177
56	0.691609243
57	0.6902719135
58	0.6892929917
59	0.6881187685
60	0.6872226401
61	0.6862872815
62	0.6852613198
63	0.6843582055
64	0.6832914656
65	0.6823444588
66	0.6813735229
67	0.6805867441
68	0.6797008506
69	0.6787237666
70	0.6780534621
71	0.6770122624
72	0.6759525306
73	0.6753723515
74	0.6744127784
75	0.6737100589
76	0.6730847628
77	0.6722572603
78	0.6713948582
79	0.6707052429
80	0.6700503617
81	0.6692841939
82	0.6686522364
83	0.668058482
84	0.6673320813
85	0.6667238657
86	0.6661455267
87	0.6655326556
88	0.6649227109
89	0.6644731718
90	0.6636996981
91	0.6632218258
92	0.6624796343
93	0.6619025165
94	0.6614948506
95	0.6608830076
96	0.6601728721
97	0.6593755887
98	0.6588578253
99	0.6584563951
100	0.6578247711
101	0.6573471638
102	0.6568672048
103	0.6564472998
104	0.6559604531
105	0.6553024639
106	0.6547950445
107	0.6545192902
108	0.6540281248
109	0.6536906506
110	0.6532944783
111	0.6527445004
112	0.6524318668
113	0.6521008335
114	0.6517704937
115	0.6512462773
116	0.6506563443
117	0.6503254316
118	0.6499243473
119	0.6495072395
120	0.6492718597
121	0.6489725047
122	0.6485961379
123	0.6481695915
124	0.6478421932
125	0.6475160939
126	0.6472159264
127	0.6467886638
128	0.6465653083
129	0.6462335767
130	0.6457588997
131	0.645449277
132	0.6451697166
133	0.644735892
134	0.6445438057
135	0.6439969191
136	0.6437700042
137	0.6435506895
138	0.6432100651
139	0.6430446724
140	0.6428114161
141	0.6424476203
142	0.6420353524
143	0.6417989076
144	0.6414206097
145	0.6411050046
146	0.6407046664
147	0.6404392997
148	0.6402176027
149	0.6399439587
150	0.6397419368
151	0.6394477742
152	0.6392344431
153	0.6388426789
154	0.6386431711
155	0.6383252596
156	0.6379155981
157	0.6377042501
158	0.637497628
159	0.637289841
160	0.6369772011
161	0.6367386263
162	0.636362833
163	0.6361033147
164	0.6359075623
165	0.6355288602
166	0.6352199196
167	0.6349283208
168	0.6346990591
169	0.6344737513
170	0.6342182641
171	0.6339508113
172	0.6337009585
173	0.6333208613
174	0.6330327768
175	0.6328344561
176	0.6325997875
177	0.6323620543
178	0.6321332563
179	0.6318754143
180	0.631662841
181	0.6313924656
182	0.6310953445
183	0.6307652269
184	0.6304911865
185	0.6303252149
186	0.6299426945
187	0.6295639942
188	0.6293159992
189	0.629062578
190	0.6288493939
191	0.6285568603
192	0.6284208269
193	0.6282136917
194	0.6279785986
195	0.6277973084
196	0.6274142325
197	0.6271755417
198	0.6268752932
199	0.6266643251
200	0.6264390288
201	0.6260902314
202	0.6258906509
203	0.6254106411
204	0.6249652191
205	0.6246497757
206	0.624380379
207	0.6242645916
208	0.6240904332
209	0.623952344
210	0.6237644586
211	0.6235454109
212	0.6233246051
213	0.6230547314
214	0.6227670974
215	0.6225040381
216	0.6222076604
217	0.6220149178
218	0.6218366958
219	0.6215812363
220	0.6212457646
221	0.6210433567
222	0.6207599562
223	0.6205035658
224	0.6202543805
225	0.6200229965
226	0.6197818029
227	0.6195369051
228	0.6193783786
229	0.6191960172
230	0.6189311065
231	0.6188177098
232	0.6186217582
233	0.61847275
234	0.618141634
235	0.6178749391
236	0.6174883152
237	0.6173234642
238	0.6171376218
239	0.6169062422
240	0.6166406337
241	0.6164752746
242	0.6162790076
243	0.6161136707
