iter	Passed	Remaining
0	47	143594
1	86	130146
2	123	123828
3	160	120234
4	194	116625
5	230	115231
6	265	113316
7	304	113848
8	339	112749
9	376	112473
10	409	111318
11	446	111109
12	482	110931
13	521	111277
14	561	111811
15	600	112064
16	639	112194
17	675	111972
18	715	112230
19	753	112288
20	791	112275
21	831	112521
22	873	113014
23	915	113527
24	955	113728
25	996	113997
26	1037	114282
27	1075	114201
28	1119	114659
29	1161	115019
30	1199	114882
31	1240	115077
32	1280	115142
33	1329	115976
34	1377	116690
35	1419	116905
36	1461	117020
37	1499	116886
38	1538	116798
39	1578	116828
40	1620	116951
41	1662	117075
42	1703	117126
43	1744	117228
44	1788	117464
45	1828	117409
46	1867	117318
47	1910	117524
48	1955	117775
49	2015	118890
50	2058	119054
51	2101	119155
52	2142	119156
53	2182	119059
54	2221	118953
55	2257	118661
56	2295	118540
57	2336	118494
58	2379	118616
59	2418	118515
60	2458	118459
61	2494	118195
62	2533	118118
63	2577	118264
64	2619	118269
65	2658	118185
66	2698	118127
67	2734	117926
68	2774	117844
69	2818	117968
70	2862	118069
71	2898	117889
72	2936	117751
73	2970	117470
74	3012	117496
75	3054	117536
76	3096	117541
77	3139	117604
78	3182	117674
79	3225	117716
80	3268	117796
81	3317	118039
82	3356	117971
83	3399	118006
84	3444	118132
85	3489	118242
86	3526	118087
87	3574	118268
88	3618	118345
89	3656	118228
90	3703	118377
91	3747	118466
92	3791	118515
93	3835	118587
94	3879	118626
95	3919	118566
96	3967	118753
97	4014	118864
98	4055	118848
99	4097	118839
100	4136	118729
101	4179	118759
102	4222	118775
103	4265	118788
104	4309	118824
105	4352	118825
106	4393	118785
107	4433	118707
108	4474	118674
109	4513	118578
110	4554	118536
111	4598	118569
112	4639	118539
113	4679	118466
114	4733	118749
115	4785	118974
116	4831	119049
117	4883	119270
118	4954	119952
119	5004	120109
120	5049	120145
121	5092	120144
122	5133	120078
123	5180	120164
124	5227	120222
125	5276	120345
126	5319	120348
127	5361	120309
128	5405	120305
129	5449	120315
130	5493	120318
131	5536	120288
132	5579	120268
133	5618	120177
134	5665	120237
135	5706	120162
136	5742	120002
137	5788	120055
138	5830	120005
139	5871	119954
140	5912	119889
141	5954	119839
142	5998	119841
143	6039	119788
144	6087	119855
145	6129	119822
146	6173	119811
147	6210	119677
148	6249	119580
149	6291	119544
150	6332	119478
151	6373	119426
152	6417	119407
153	6458	119352
154	6498	119284
155	6536	119169
156	6578	119119
157	6616	119020
158	6658	118975
159	6698	118893
160	6741	118869
161	6784	118851
162	6826	118819
163	6870	118802
164	6911	118750
165	6955	118748
166	6997	118706
167	7042	118711
168	7077	118553
169	7116	118472
170	7159	118440
171	7200	118394
172	7243	118360
173	7284	118311
174	7325	118248
175	7361	118124
176	7401	118043
177	7440	117968
178	7483	117935
179	7525	117896
180	7566	117847
181	7604	117742
182	7649	117749
183	7692	117729
184	7731	117651
185	7777	117660
186	7824	117700
187	7868	117695
188	7912	117678
189	7950	117589
190	7996	117596
191	8036	117539
192	8079	117510
193	8125	117526
194	8167	117487
195	8211	117474
196	8255	117460
197	8293	117365
198	8332	117288
199	8369	117170
200	8410	117122
201	8451	117068
